what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1426649952802
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1426649952802
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1426649952802
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1426649952803
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1426649952803
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1426649952803
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1426649952804
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1426649952804
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1426649952804
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1426649952805
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1426649952805
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1426649952806
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1426649952806
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1426649952806
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1426649952806
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426649952807
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426649952807
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1426649952807
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1426649952808
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1426649952808
os,sysinfo,,,"win32",1426649952810
arch,sysinfo,,,"x86_64",1426649952810
ws,sysinfo,,,"win32",1426649952810
locale,sysinfo,,,"en_US",1426649952810
processors,sysinfo,,,"8",1426649952810
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426649952810
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1426649952810
java.specification.name,sysinfo,,,"Java Platform API Specification",1426649952810
