what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707266271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707268453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707273895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707277732
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426707278669
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1426707278852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707281135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707283704
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1426707288497
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426707289290
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1426707292126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707292392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707294249
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426707299838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707303201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707305758
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426707307029
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426707307032
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426707307035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707308268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707309095
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1426707309099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707309378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707309707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707310249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707312431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707315837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707319677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707325265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707326099
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1426707326408
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426707326453
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1426707326671
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426707326671
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426707326672
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426707326672
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426707326672
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1426707326672
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426707326672
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1426707326672
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1426707326672
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1426707326672
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1426707326673
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1426707326673
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426707326674
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1426707326675
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1426707326675
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426707326675
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1426707326676
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1426707326677
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426707326677
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426707326677
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426707326677
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1426707326678
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426707326678
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426707326678
