what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426688694678
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1426688694678
java.specification.name,sysinfo,,,"Java Platform API Specification",1426688694678
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426688694678
java.specification.version,sysinfo,,,"1.6",1426688694678
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1426688694678
java.version,sysinfo,,,"1.6.0_23",1426688694678
java.vm.info,sysinfo,,,"mixed mode",1426688694678
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1426688694678
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426688694678
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426688694678
java.vm.specification.version,sysinfo,,,"1.0",1426688694678
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1426688694678
java.vm.version,sysinfo,,,"19.0-b09",1426688694678
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1426688694769
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426688695028
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1426688695240
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426688699418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426688699436
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1426688699492
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426688699495
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426688699496
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426688699496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426688701609
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1426688711605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426688711871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426688713222
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426688716400
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426688716402
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426688716404
