what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1426703279933
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1426703279933
java.version,sysinfo,,,"1.6.0_23",1426703279933
java.vm.info,sysinfo,,,"mixed mode",1426703279933
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1426703279933
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426703279933
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426703279933
java.vm.specification.version,sysinfo,,,"1.0",1426703279933
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1426703279933
java.vm.version,sysinfo,,,"19.0-b09",1426703279933
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426703288843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703292424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703293533
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1426703293611
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426703293647
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1426703293758
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1426703293817
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1426703293889
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1426703293890
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426703293891
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426703293897
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426703293897
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1426703293898
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426703293899
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1426703293899
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1426703293899
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1426703293899
