what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1426658188438
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1426658188438
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1426658188438
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1426658188456
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1426658188456
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1426658188457
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1426658188457
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1426658188457
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1426658188458
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1426658188458
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1426658188458
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1426658188459
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1426658188459
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1426658188459
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1426658188460
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1426658188460
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1426658188460
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1426658188460
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1426658188461
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1426658188461
os,sysinfo,,,"win32",1426658188463
arch,sysinfo,,,"x86_64",1426658188463
ws,sysinfo,,,"win32",1426658188463
locale,sysinfo,,,"en_US",1426658188463
processors,sysinfo,,,"8",1426658188463
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426658188463
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1426658188463
java.specification.name,sysinfo,,,"Java Platform API Specification",1426658188463
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426658188463
java.specification.version,sysinfo,,,"1.6",1426658188463
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1426658188463
java.version,sysinfo,,,"1.6.0_23",1426658188463
java.vm.info,sysinfo,,,"mixed mode",1426658188463
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1426658188463
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426658188463
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426658188463
java.vm.specification.version,sysinfo,,,"1.0",1426658188463
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1426658188463
java.vm.version,sysinfo,,,"19.0-b09",1426658188463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426658188471
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1426658189204
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426658190371
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1426658191271
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426658198329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426658198341
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1426658198394
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1426658198399
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1426658198399
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1426658198400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426658200452
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426658206954
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426658228972
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1426658228972
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1426658228973
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426658228976
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1426658230326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426658230569
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1426658236100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426658247854
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1426658247873
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426658249019
